Name,BoQ_Code,Description,Facility_Building,Construction_Discipline,Unit of Measure,Project_Qty,Unit_Price,Total Value
"2041-01-13-13 – Внутренней блок канального типа мощностью: свыше 8 кВт,2041-01-13-13,""Внутренней блок канального типа мощностью: свыше 8",,,,,,,,
"кВт"",16160-13 ,Кондиционирование,шт. / pcs,""3,00"",""₽ 33714,00"",""₽ 101142,00""",,,,,,,,
"2041-01-23-12 – Клапаны обратные: периметром до 3200 мм,2041-01-23-12,Клапаны обратные: периметром до 3200 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 35000,00"",",,,,,,,,
"2041-02-01-12 – Балансировочный клапан - DN20,2041-02-01-12,Балансировочный клапан - DN20,16160-13 ,Отопление ,шт. / pcs,""34,00"",""₽ 7250,00"",""₽ 246500,00""",,,,,,,,
"2041-01-23-26 – Заслонки воздушные и клапаны воздушные КВР с ручным приводом: периметром до 4000 мм,2041-01-23-26,Заслонки воздушные и клапаны воздушные КВР с ручным приводом: периметром до 4000 мм,16160-13 ,Вентиляция ,шт. / pcs,""1,00"",""₽ 74000,00"",""₽ 74000,00""",,,,,,,,
"2041-01-23-47 – Клапаны избыточного давления (КИД, КСИД и т.п.),2041-01-23-47,""Клапаны избыточного давления (КИД, КСИД и т.п.)"",16160-13 ,Вентиляция ,шт. / pcs,""6,00"",""₽ 12687,00"",""₽ 76122,00""",,,,,,,,
2041-01-02-01 – Приточно-вытяжная установка производительностью до 5 тыс. м3/час,2041-01-02-01,Приточно-вытяжная установка производительностью до 5 тыс. м3/час,16160-13,Вентиляция,шт. / pcs,,,
"2041-02-04-01 – Радиаторы,2041-02-04-01,Радиаторы,16160-13 ,Отопление ,шт. / pcs,""8,00"",""₽ 2471,30"",""₽ 19770,40""",,,,,,,,
2041-03-01 – Вентиляторы радиальные,2041-03-01,Вентиляторы радиальные,16160-13,Вентиляция,,,,
"2041-01-08-04 – Агрегат или машина компрессорно-конденсаторная, масса: 2,6 т,2041-01-08-04,""Агрегат или машина компрессорно-конденсаторная, масса: 2,6 т"",16160-13 ,Кондиционирование,шт. / pcs,""2,00"",""₽ 289546,00"",""₽ 579092,00""",,,,,,,,
"2041-02-01-11 – Воздухоотводчик DN 15 (нержавеющая сталь),2041-02-01-11,Воздухоотводчик DN 15 (нержавеющая сталь),16160-13 ,Отопление ,шт. / pcs,""18,00"",""₽ 6949,00"",""₽ 125082,00""",,,,,,,,
2041-01-24 – Дымовые и противопожарные клапаны,2041-01-24,Дымовые и противопожарные клапаны,16160-13,Вентиляция,,,,
"2041-01-23-21 – Заслонки воздушные и клапаны воздушные КВР с ручным приводом: диаметром до 800 мм,2041-01-23-21,Заслонки воздушные и клапаны воздушные КВР с ручным приводом: диаметром до 800 мм,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 14775,86"",""₽ 29551,72""",,,,,,,,
"2041-01-27-04 – Покрытие из оцинкованного стального листа для вышеуказанной изоляции, дополнительная цена,2041-01-27-04,""Покрытие из оцинкованного стального листа для вышеуказанной изоляции, дополнительная цена"",16160-13 ,Вентиляция ,м2 / m2,""156,40"",""₽ 1422,06"",""₽ 222410,18""",,,,,,,,
